name,year,nominations,rating,duration,genre1,genre2,release,metacritic,synopsis
 The Theory of Everything,2014,5,7.7,123,Biography,Drama,January,72,A look at the relationship between the famous physicist Stephen Hawking and his wife.
 Dallas Buyers Club,2013,6,8,117,Biography,Drama,November,84,In 1985 Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.
 Lincoln,2012,12,7.4,150,Biography,Drama,November,86,As the Civil War continues to rage Americas president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.
 The Artist,2011,10,8,100,Comedy,Drama,October,89,A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.
 The King's Speech,2010,12,8,118,Biography,Drama,December,88,The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
 Crazy Heart,2009,3,7.3,112,Drama,Music,February,83,A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.
 Milk,2008,8,7.6,128,Biography,Drama,January,84,The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became Californias first openly gay elected official.
 There Will Be Blood,2007,8,8.1,158,Drama,,January,92,A story of family religion hatred oil and madness focusing on a turn-of-the-century prospector in the early days of the business.
 The Last King of Scotland,2006, ,7.7,121,Biography,Drama,January,74,Based on the events of the brutal Ugandan dictator Idi Amins regime as seen by his personal physician during the 1970s
 Capote,2005,5,7.4,114,Biography,Crime,February,88,In 1959 Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood Capote forms a relationship with one of the killers Perry Smith who is on death row.
 Ray,2004,6,7.7,152,Biography,Drama,October,73,The story of the life and career of the legendary rhythm and blues musician Ray Charles from his humble beginnings in the South where he went blind at age seven to his meteoric rise to stardom during the 1950s and 1960s.
 Mystic River,2003,6,8,138,Crime,Drama,October,84,With a childhood tragedy that overshadowed their lives three men are reunited by circumstance when one has a family tragedy.
 The Pianist,2002,7,8.5,150,Biography,Drama,January,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
 Training Day,2001,2,7.7,122,Crime,Drama,October,70,On his first day on the job as a Los Angeles narcotics officer a rookie cop goes on a 24-hour training course with a rogue detective who isnt what he appears.
 Gladiator,2000,12,8.5,155,Action,Drama,May,64,When a Roman general is betrayed and his family murdered by an emperors corrupt son he comes to Rome as a gladiator to seek revenge.
 American Beauty,1999,8,8.4,122,Drama,Romance,October,86,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
 Life Is Beautiful,1998,7,8.6,116,Comedy,Drama,November,59,When an open-minded Jewish librarian and his son become victims of the Holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp.
 As Good As It Gets,1997,7,7.7,139,Comedy,Drama,December,67,A single mother/waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is in an accident.
 Shine,1996,7,7.7,105,Biography,Drama,December,87,Pianist David Helfgott driven by his father and teachers has a breakdown. Years later he returns to the piano to popular if not critical acclaim.
 Leaving Las Vegas,1995,4,7.6,111,Drama,Romance,February,82,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death. There he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
 Forrest Gump,1994,13,8.8,142,Drama,Romance,July,82,Forrest Gump while not intelligent has accidentally been present at many historic moments but his true love Jenny Curran eludes him.
 Philadelphia,1993,5,7.7,125,Drama,,January,66,When a man with AIDS is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.
 Scent of a Woman,1992,4,8,156,Drama,,January,59,"A prep school student needing money agrees to ""babysit"" a blind man but the job is not at all what he anticipated."
 The Silence of the Lambs,1991,7,8.6,118,Crime,Drama,February,84,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
 Reversal of Fortune,1990,3,7.3,111,Biography,Drama,November,93,Wealthy Sunny von Bülow lies brain-dead husband Claus guilty of attempted murder; but he says hes innocent and hires Alan Dershowitz for his appeal.
 My Left Foot,1989,5,7.9,103,Biography,Drama,April,,Christy Brown born with cerebral palsy learns to paint and write with his only controllable limb - his left foot.
 Rain Man,1988,8,8,133,Drama,,December,65,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
 Wall Street,1987, ,7.4,126,Crime,Drama,December,56,A young and impatient stockbroker is willing to do anything to get to the top including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.
 The Color of Money,1986,4,7,119,Drama,Sport,October,,Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling which in turn inspires him to make an unlikely comeback.
 Kiss of the Spider Woman,1985,4,7.4,120,Drama,Romance,July,80,Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis a trans individual is found guilty of immoral behavior and Valentin is a political prisoner. To escape ...                See full summary »
 Amadeus,1984,11,8.3,160,Biography,Drama,October,93,The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
 Tender Mercies,1983,5,7.5,92,Drama,Music,June,,A broken-down middle-aged country singer gets a new wife reaches out to his long-lost daughter and tries to put his troubled life back together.
 Gandhi,1982,11,8.1,191,Biography,Drama,December,,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
 On Golden Pond,1981,10,7.7,109,Drama,,February,,Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond he and his wife nevertheless agree to care for Billy the son of Chelseas new boyfriend and a most unexpected relationship blooms.
 Raging Bull,1980,8,8.3,129,Biography,Drama,December,92,An emotionally self-destructive boxers journey through life as the violence and temper that leads him to the top in the ring destroys his life outside it.
 Kramer vs. Kramer,1979,9,7.8,105,Drama,,December,77,Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
 Coming Home,1978,8,7.3,127,Drama,Romance,February,,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.
 The Goodbye Girl,1977,5,7.4,111,Comedy,Drama,February,,After being dumped by her live-in boyfriend an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.
 Network,1976,10,8.1,121,Drama,,November,,A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit.
 One Flew Over the Cuckoo's Nest,1975,9,8.7,133,Drama,,November,79,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
 Harry and Tonto,1974,2,7.5,115,Adventure,Comedy,January,,When his apartment building is torn down a retired lifelong New Yorker goes on a cross country odyssey with his beloved cat Tonto.
 Save the Tiger,1973,3,6.9,100,Drama,,July,,A businessmans professional struggles begin to conflict with his personal life over the course of two days.
 The Godfather,1972,11,9.2,175,Crime,Drama,March,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
 The French Connection,1971,8,7.8,104,Action,Crime,October,96,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
 Patton,1970,10,8,172,Biography,Drama,April,91,The World War II phase of the career of the controversial American general George S. Patton.
 True Grit,1969,2,7.7,110,Adventure,Drama,December,80,A tough U.S. Marshal helps a stubborn teenager track down her fathers murderer.
 Charly,1968, ,7.1,103,Drama,Sci-Fi,September,,An intellectually disabled man undergoes an experiment that gives him the intelligence of a genius.
 In the Heat of the Night,1967,7,8,109,Crime,Drama,October,,An African American police detective is asked to investigate a murder in a racially hostile southern town.
 A Man for All Seasons,1966,8,7.9,120,Biography,Drama,May,,The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.
 Cat Ballou,1965,5,6.9,97,Comedy,Western,June,,A woman seeking revenge for her murdered father hires a famous gunman but hes very different from what she expects.
 My Fair Lady,1964,12,7.9,170,Drama,Family,December,,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
 Lilies of the Field,1963,5,7.7,94,Drama,,July,,A traveling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.
 To Kill a Mockingbird,1962,8,8.4,129,Drama,,March,,Atticus Finch a lawyer in the Depression-era South defends a black man against an undeserved rape charge and his kids against prejudice.
 Judgment at Nuremberg,1961,11,8.3,186,Drama,History,December,,In 1948 an American court in occupied Germany tries four Nazi judges for war crimes.
 Elmer Gantry,1960,5,7.9,146,Drama,,July,,A fast-talking traveling salesman with a charming loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.
 Ben-Hur,1959,12,8.1,212,Adventure,Drama,December,,When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.
 Separate Tables,1958,7,7.6,100,Drama,Romance,February,,"The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables."""
 The Bridge on the River Kwai,1957,8,8.2,161,Adventure,Drama,October,,After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
 The King and I (Rodgers and Hammerstein's The King and I),1956,9,7.5,133,Biography,Drama,June,,A widow accepts a job as a live-in governess to the King of Siams children.
 Marty,1955,8,7.7,90,Drama,Romance,June,,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.
 On the Waterfront,1954,12,8.3,108,Crime,Drama,June,88,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
 Stalag 17,1953,3,8.1,120,Comedy,Drama,August,,When two escaping American World War II prisoners are killed the German POW camp barracks black marketeer J.J. Sefton is suspected of being an informer.
 High Noon,1952,7,8.1,85,Action,Drama,July,89,A marshall personally compelled to face a returning deadly enemy finds that his own town refuses to help him.
 The African Queen,1951,4,7.9,105,Adventure,Drama,February,,In Africa during WWI a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.
 Cyrano de Bergerac,1950, ,7.6,112,Drama,Romance,November,,The charismatic swordsman-poet helps another woo the woman he loves in this straightforward version of the play.
 All the King's Men,1949,7,7.6,110,Drama,,January,,The rise and fall of a corrupt politician who makes his friends richer and retains power by dint of a populist appeal.
 Hamlet,1948,7,7.9,155,Drama,,August,,Prince Hamlet struggles over whether or not he should kill his uncle whom he suspects has murdered his father the former king.
 A Double Life,1947,4,7.1,104,Crime,Drama,,,Anthony John is an actor whose life is strongly influenced by the characters he plays. When hes playing comedy hes the most enjoyable person in the world but when hes playing drama ...                See full summary »
 The Best Years of Our Lives,1946,8,8.2,172,Drama,Romance,June,,Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.
 The Lost Weekend,1945,7,8,101,Drama,Film-Noir,November,,The desperate life of a chronic alcoholic is followed through a four day drinking bout.
 Going My Way,1944,10,7.3,126,Comedy,Drama,October,,Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summary »
 Watch on the Rhine,1943,4,7.4,114,Drama,,August,,Sara and Kurt Muller and their three children are returning to her mothers home in Washington DC after 18 years in Europe. A Romanian Count living there discovers Kurts attache case full ...                See full summary »
 Yankee Doodle Dandy,1942,8,7.8,126,Biography,Drama,June,,A film of the life of the renowned musical composer playwright actor dancer and singer George M. Cohan.
 Sergeant York,1941,11,7.8,134,Biography,Drama,September,,A hillbilly sharpshooter drafted in WW1 despite his claim to be a pacifist who ends up becoming a war hero.
 The Philadelphia Story,1940,6,8.1,112,Comedy,Romance,December,,When a rich womans ex-husband and a tabloid-type reporter turn up just before her planned remarriage she begins to learn the truth about herself.
 Goodbye Mr. Chips,1939,7,7.7,114,Drama,Romance,July,,An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.
 Boys Town,1938,5,7.3,96,Biography,Drama,September,,"Against all odds Father Flanagan starts ""Boys Town"" after hearing a convicts story. Whitey Marsh comes there. He runs away but hungry returns. He runs away again but when friend Pee ...                See full summary »"
 Captains Courageous,1937,4,8,117,Adventure,Drama,June,,Harvey Cheyne is a spoiled brat used to having his own way. When a prank goes wrong onboard an ocean liner Harvey ends up overboard and nearly drowns. Fortunately hes picked up by a ...                See full summary »
 The Story of Louis Pasteur,1936,4,7.4,86,Biography,Drama,February,,The biography of the pioneering French microbiologist who helped revolutionize agriculture and medicine.
 The Informer,1935,6,7.6,91,Drama,,July,,In 1922 an Irish rebel informs on his friend then feels doom closing in.
 It Happened One Night,1934,5,8.2,105,Comedy,Romance,February,,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
 The Private Life of Henry VIII,1933,2,7.3,97,Biography,Comedy,August,,Tells how King Henry VIII came to marry five more times after his divorce from his first wife.
 The Champ,1931,4,7.3,86,Drama,Family,November,,"Dink Purcell loves his alcoholic father ex-heavyweight champion Andy ""Champ"" Purcell despite his frequent binges his frequent gambling and their squalid living conditions. And theres ...                See full summary »"
 A Free Soul,1930,3,6.7,93,Crime,Drama,June,,An alcoholic lawyer who successfully defended a notorious gambler on a murder charge objects when his free-spirited daughter becomes romantically involved with him.
 Disraeli,1929,3,6.5,90,Biography,Drama,November,,Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.
 In Old Arizona,1928,5,5.8,95,Romance,Western,January,,A charming happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.
 The Last Command,1927,2,8,88,Drama,History,April,,A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.
