FolderName,MolFileName,CompoundId,CompundFormula,Inchi,InchiKey,CIDSmiles,Isomericsmiles,URL
_C06804_1.14.13.88,_C06804_1.14.13.88_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.13.167,_C06804_1.14.13.167_product_1.mol,1983,C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)O,CC(=O)NC1=CC=C(C=C1)O,https://pubchem.ncbi.nlm.nih.gov/compound/1983
_C06804_1.14.13.167,_C06804_1.14.13.167_product_2.mol,,,,,,,
_C06804_2.5.1.36,_C06804_2.5.1.36_product_1.mol,,,,,,,
_C06804_2.5.1.36,_C06804_2.5.1.36_product_2.mol,,,,,,,
_C06804_1.14.13.20,_C06804_1.14.13.20_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.13.20,_C06804_1.14.13.20_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.13.11.66,_C06804_1.13.11.66_product_1.mol,,,,,,,
_C06804_1.13.11.66,_C06804_1.13.11.66_product_2.mol,,,,,,,
_C06804_1.13.11.66,_C06804_1.13.11.66_product_3.mol,,,,,,,
_C06804_2.1.1.4,_C06804_2.1.1.4_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
_C06804_3.1.3.41,_C06804_3.1.3.41_product_1.mol,10176997,C8H10NO5P,"InChI=1S/C8H10NO5P/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H2,11,12,13)",PSQWZQGQIUGIRU-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/10176997
_C06804_2.7.10.1,_C06804_2.7.10.1_product_1.mol,10176997,C8H10NO5P,"InChI=1S/C8H10NO5P/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H2,11,12,13)",PSQWZQGQIUGIRU-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/10176997
_C06804_1.14.13.29,_C06804_1.14.13.29_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.13.29,_C06804_1.14.13.29_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_2.8.2.9,_C06804_2.8.2.9_product_1.mol,83939,C8H9NO5S,"InChI=1S/C8H9NO5S/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)",IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/83939
_C06804_1.14.13.11,_C06804_1.14.13.11_product_1.mol,904,C8H9NO,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)",FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/904
_C06804_1.14.13.11,_C06804_1.14.13.11_product_2.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
_C06804_2.5.1.38,_C06804_2.5.1.38_product_1.mol,,,,,,,
_C06804_1.14.18.2,_C06804_1.14.18.2_product_1.mol,12748683,C8H9NO3,"InChI=1S/C8H9NO3/c10-5-8(12)9-6-1-3-7(11)4-2-6/h1-4,10-11H,5H2,(H,9,12)",AFOASBUSAJOWLT-UHFFFAOYSA-N,C1=CC(=CC=C1NC(=O)CO)O,C1=CC(=CC=C1NC(=O)CO)O,https://pubchem.ncbi.nlm.nih.gov/compound/12748683
_C06804_2.1.1.155,_C06804_2.1.1.155_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
_C06804_2.8.2.28,_C06804_2.8.2.28_product_1.mol,83939,C8H9NO5S,"InChI=1S/C8H9NO5S/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)",IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/83939
_C06804_1.21.3.4,_C06804_1.21.3.4_product_1.mol,,,,,,,
_C06804_2.8.2.1,_C06804_2.8.2.1_product_1.mol,83939,C8H9NO5S,"InChI=1S/C8H9NO5S/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)",IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/83939
_C06804_1.6.5.7,_C06804_1.6.5.7_product_1.mol,,,,,,,
_C06804_1.14.16.1,_C06804_1.14.16.1_product_1.mol,904,C8H9NO,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)",FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/904
_C06804_1.14.16.1,_C06804_1.14.16.1_product_2.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
_C06804_2.1.1.146,_C06804_2.1.1.146_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
_C06804_2.1.1.94,_C06804_2.1.1.94_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
_C06804_2.4.1.218,_C06804_2.4.1.218_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
_C06804_1.14.12.5,_C06804_1.14.12.5_product_1.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
_C06804_1.7.1.12,_C06804_1.7.1.12_product_1.mol,45750,C8H9NO3,"InChI=1S/C8H9NO3/c1-6(10)9(12)7-2-4-8(11)5-3-7/h2-5,11-12H,1H3",CCYHKRWGLAJQTB-UHFFFAOYSA-N,CC(=O)N(C1=CC=C(C=C1)O)O,CC(=O)N(C1=CC=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/45750
_C06804_2.5.1.93,_C06804_2.5.1.93_product_1.mol,,,,,,,
_C06804_2.5.1.93,_C06804_2.5.1.93_product_2.mol,,,,,,,
_C06804_1.14.13.7,_C06804_1.14.13.7_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.13.7,_C06804_1.14.13.7_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.22.1.1,_C06804_1.22.1.1_product_1.mol,,,,,,,
_C06804_1.22.1.1,_C06804_1.22.1.1_product_2.mol,,,,,,,
_C06804_2.8.2.4,_C06804_2.8.2.4_product_1.mol,83939,C8H9NO5S,"InChI=1S/C8H9NO5S/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)",IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/83939
_C06804_2.3.1.5,_C06804_2.3.1.5_product_1.mol,403,C6H7NO,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",PLIKAWJENQZMHA-UHFFFAOYSA-N,C1=CC(=CC=C1N)O,C1=CC(=CC=C1N)O,https://pubchem.ncbi.nlm.nih.gov/compound/403
_C06804_2.3.1.5,_C06804_2.3.1.5_product_2.mol,181,C23H38N7O17P3S,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)",ZSLZBFCDCINBPY-UHFFFAOYSA-N,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/181
_C06804_3.1.1.2,_C06804_3.1.1.2_product_1.mol,17499,C10H11NO3,"InChI=1S/C10H11NO3/c1-7(12)11-9-3-5-10(6-4-9)14-8(2)13/h3-6H,1-2H3,(H,11,12)",UJAOSPFULOFZRR-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC(=O)C,CC(=O)NC1=CC=C(C=C1)OC(=O)C,https://pubchem.ncbi.nlm.nih.gov/compound/17499
_C06804_1.14.14.9,_C06804_1.14.14.9_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.14.9,_C06804_1.14.14.9_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_3.1.6.1,_C06804_3.1.6.1_product_1.mol,83939,C8H9NO5S,"InChI=1S/C8H9NO5S/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)",IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/83939
_C06804_2.4.1.286,_C06804_2.4.1.286_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
_C06804_1.3.7.9,_C06804_1.3.7.9_product_1.mol,904,C8H9NO,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)",FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/904
_C06804_1.3.7.9,_C06804_1.3.7.9_product_2.mol,962,H2O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,https://pubchem.ncbi.nlm.nih.gov/compound/962
_C06804_3.1.3.1,_C06804_3.1.3.1_product_1.mol,10176997,C8H10NO5P,"InChI=1S/C8H10NO5P/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H2,11,12,13)",PSQWZQGQIUGIRU-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/10176997
_C06804_2.4.1.209,_C06804_2.4.1.209_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
_C06804_2.4.1.81,_C06804_2.4.1.81_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
_C06804_1.14.13.33,_C06804_1.14.13.33_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.13.33,_C06804_1.14.13.33_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
