,FolderName,MolFileName,CompoundId,CompundFormula,Inchi,InchiKey,CIDSmiles,Isomericsmiles,URL
0,_C06804_1.13.11.5,_C06804_1.13.11.5_product_1.mol,,,,,,,
1,_C06804_2.5.1.39,_C06804_2.5.1.39_product_1.mol,,,,,,,
2,_C06804_2.5.1.39,_C06804_2.5.1.39_product_2.mol,,,,,,,
3,_C06804_2.5.1.39,_C06804_2.5.1.39_product_4.mol,,,,,,,
4,_C06804_2.5.1.39,_C06804_2.5.1.39_product_3.mol,,,,,,,
5,_C06804_1.10.3.1,_C06804_1.10.3.1_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
6,_C06804_1.10.3.1,_C06804_1.10.3.1_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
7,_C06804_1.21.3.5,_C06804_1.21.3.5_product_1.mol,,,,,,,
8,_C06804_1.3.1.79,_C06804_1.3.1.79_product_1.mol,,,,,,,
9,_C06804_2.1.1.150,_C06804_2.1.1.150_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
10,_C06804_2.4.1.237,_C06804_2.4.1.237_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
11,_C06804_2.7.7.42,_C06804_2.7.7.42_product_1.mol,,,,,,,
12,_C06804_2.1.1.25,_C06804_2.1.1.25_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
13,_C06804_2.1.1.82,_C06804_2.1.1.82_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
14,_C06804_1.3.1.57,_C06804_1.3.1.57_product_1.mol,,,,,,,
15,_C06804_2.1.1.212,_C06804_2.1.1.212_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
16,_C06804_1.14.99.47,_C06804_1.14.99.47_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
17,_C06804_1.14.99.47,_C06804_1.14.99.47_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
18,_C06804_1.13.11.48,_C06804_1.13.11.48_product_1.mol,,,,,,,
19,_C06804_1.13.11.48,_C06804_1.13.11.48_product_2.mol,,,,,,,
20,_C06804_1.13.11.48,_C06804_1.13.11.48_product_3.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
21,_C06804_2.8.2.15,_C06804_2.8.2.15_product_1.mol,83939,C8H9NO5S,"InChI=1S/C8H9NO5S/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H,11,12,13)",IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/83939
22,_C06804_2.7.12.1,_C06804_2.7.12.1_product_1.mol,10176997,C8H10NO5P,"InChI=1S/C8H10NO5P/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H2,11,12,13)",PSQWZQGQIUGIRU-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/10176997
23,_C06804_1.14.13.21,_C06804_1.14.13.21_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
24,_C06804_1.14.13.21,_C06804_1.14.13.21_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
25,_C06804_1.14.99.26,_C06804_1.14.99.26_product_1.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
26,_C06804_1.17.5.1,_C06804_1.17.5.1_product_1.mol,1983,C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)O,CC(=O)NC1=CC=C(C=C1)O,https://pubchem.ncbi.nlm.nih.gov/compound/1983
27,_C06804_1.17.5.1,_C06804_1.17.5.1_product_2.mol,,,,,,,
28,_C06804_3.1.4.15,_C06804_3.1.4.15_product_1.mol,,,,,,,
29,_C06804_3.1.3.2,_C06804_3.1.3.2_product_1.mol,10176997,C8H10NO5P,"InChI=1S/C8H10NO5P/c1-6(10)9-7-2-4-8(5-3-7)14-15(11,12)13/h2-5H,1H3,(H,9,10)(H2,11,12,13)",PSQWZQGQIUGIRU-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/10176997
30,_C06804_2.7.7.59,_C06804_2.7.7.59_product_1.mol,,,,,,,
31,_C06804_1.13.11.4,_C06804_1.13.11.4_product_1.mol,,,,,,,
32,_C06804_1.14.13.71,_C06804_1.14.13.71_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
33,_C06804_1.14.13.71,_C06804_1.14.13.71_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
34,_C06804_1.14.14.1,_C06804_1.14.14.1_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
35,_C06804_1.14.14.1,_C06804_1.14.14.1_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
36,_C06804_1.14.14.1,_C06804_1.14.14.1_product_4.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
37,_C06804_1.14.14.1,_C06804_1.14.14.1_product_3.mol,904,C8H9NO,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)",FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/904
38,_C06804_2.1.1.240,_C06804_2.1.1.240_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
39,_C06804_1.14.18.1,_C06804_1.14.18.1_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
40,_C06804_1.14.18.1,_C06804_1.14.18.1_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
41,_C06804_1.14.18.1,_C06804_1.14.18.1_product_4.mol,,,,,,,
42,_C06804_1.14.18.1,_C06804_1.14.18.1_product_3.mol,1983,C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)O,CC(=O)NC1=CC=C(C=C1)O,https://pubchem.ncbi.nlm.nih.gov/compound/1983
43,_C06804_2.4.1.185,_C06804_2.4.1.185_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
44,_C06804_1.14.13.50,_C06804_1.14.13.50_product_1.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
45,_C06804_2.4.1.17,_C06804_2.4.1.17_product_1.mol,4022661,C14H17NO8,"InChI=1S/C14H17NO8/c1-6(16)15-7-2-4-8(5-3-7)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h2-5,9-12,14,17-19H,1H3,(H,15,16)(H,20,21)",IPROLSVTVHAQLE-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/4022661
46,_C06804_1.14.16.2,_C06804_1.14.16.2_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
47,_C06804_1.14.16.2,_C06804_1.14.16.2_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
48,_C06804_1.14.13.73,_C06804_1.14.13.73_product_1.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
49,_C06804_2.4.1.189,_C06804_2.4.1.189_product_1.mol,4022661,C14H17NO8,"InChI=1S/C14H17NO8/c1-6(16)15-7-2-4-8(5-3-7)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h2-5,9-12,14,17-19H,1H3,(H,15,16)(H,20,21)",IPROLSVTVHAQLE-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/4022661
