,place_coord_boundaries
106,"[[8.4475987, 11.9296331], [8.6073347, 11.9296331], [8.6073347, 12.0803669], [8.4475987, 12.0803669]]"
109,"[[-1.838006, 51.050942], [-1.765956, 51.050942], [-1.765956, 51.093695], [-1.838006, 51.093695]]"
141,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
163,"[[-88.048288, 41.6410191], [-87.91269, 41.6410191], [-87.91269, 41.708185], [-88.048288, 41.708185]]"
175,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]"
207,"[[140.999474522999, -37.5050599967256], [159.109219005872, -37.5050599967256], [159.109219005872, -28.1570199141289], [140.999474522999, -28.1570199141289]]"
210,"[[140.999474522999, -37.5050599967256], [159.109219005872, -37.5050599967256], [159.109219005872, -28.1570199141289], [140.999474522999, -28.1570199141289]]"
255,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
272,"[[12.2344266, 41.6558738], [12.8558641, 41.6558738], [12.8558641, 42.140959], [12.2344266, 42.140959]]"
276,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]"
348,"[[10.8768902, 45.348487], [11.1240155, 45.348487], [11.1240155, 45.5402457], [10.8768902, 45.5402457]]"
363,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
373,"[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]"
387,"[[-80.64362, 28.286581], [-80.601732, 28.286581], [-80.601732, 28.372031], [-80.64362, 28.372031]]"
408,"[[-0.170246, 51.564585], [-0.034078, 51.564585], [-0.034078, 51.6112184], [-0.170246, 51.6112184]]"
444,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
471,"[[-2.36259, 51.629523], [-2.3374, 51.629523], [-2.3374, 51.643011], [-2.36259, 51.643011]]"
491,"[[-99.1843501, 19.3998346], [-99.122382, 19.3998346], [-99.122382, 19.4658366], [-99.1843501, 19.4658366]]"
541,"[[-4.3932845, 55.796184], [-4.0902182, 55.796184], [-4.0902182, 55.9204214], [-4.3932845, 55.9204214]]"
571,"[[85.73406, 20.03944], [86.28391, 20.03944], [86.28391, 20.699481], [85.73406, 20.699481]]"
576,"[[-119.321696, 34.23444], [-119.136287, 34.23444], [-119.136287, 34.344939], [-119.321696, 34.344939]]"
611,"[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]"
696,"[[8.3075007, 4.9112081], [8.372645, 4.9112081], [8.372645, 5.0414683], [8.3075007, 5.0414683]]"
697,"[[-117.312091, 32.999469], [-117.195721, 32.999469], [-117.195721, 33.090549], [-117.312091, 33.090549]]"
759,"[[2.6953821, 7.0555476], [4.5753821, 7.0555476], [4.5753821, 9.1962975], [2.6953821, 9.1962975]]"
778,"[[-1.5845347, 53.1202939], [-1.5307769, 53.1202939], [-1.5307769, 53.1609226], [-1.5845347, 53.1609226]]"
787,"[[-124.298278, 43.342917], [-124.205934, 43.342917], [-124.205934, 43.411311], [-124.298278, 43.411311]]"
800,"[[-10.2254601, 51.4192154], [-7.8411533, 51.4192154], [-7.8411533, 52.3885113], [-10.2254601, 52.3885113]]"
805,"[[-93.065629, 44.84812], [-93.014934, 44.84812], [-93.014934, 44.919579], [-93.065629, 44.919579]]"
808,"[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]"
815,"[[73.8031065, 18.4571648], [73.9656571, 18.4571648], [73.9656571, 18.5843633], [73.8031065, 18.5843633]]"
844,"[[-73.2019934, 44.484314], [-73.165939, 44.484314], [-73.165939, 44.506551], [-73.2019934, 44.506551]]"
857,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]"
912,"[[-124.191334, 40.757522], [-124.169555, 40.757522], [-124.169555, 40.773328], [-124.191334, 40.773328]]"
928,"[[-117.2301723, 33.0907611], [-117.103461, 33.0907611], [-117.103461, 33.186722], [-117.2301723, 33.186722]]"
951,"[[-4.3932845, 55.796184], [-4.0902182, 55.796184], [-4.0902182, 55.9204214], [-4.3932845, 55.9204214]]"
965,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]"
1024,"[[-124.703541, 41.991795], [-116.463262, 41.991795], [-116.463262, 46.2990779], [-124.703541, 46.2990779]]"
1032,"[[-101.258584, 44.9943757], [-101.223231, 44.9943757], [-101.223231, 45.008092], [-101.258584, 45.008092]]"
1056,"[[-92.4370833, 42.421196], [-92.2732403, 42.421196], [-92.2732403, 42.570459], [-92.4370833, 42.570459]]"
1077,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]"
1089,"[[-122.779239, 38.396779], [-122.572978, 38.396779], [-122.572978, 38.507656], [-122.779239, 38.507656]]"
1096,"[[-122.779239, 38.396779], [-122.572978, 38.396779], [-122.572978, 38.507656], [-122.779239, 38.507656]]"
1105,"[[-123.478699, 48.433384], [-123.262977, 48.433384], [-123.262977, 48.559067], [-123.478699, 48.559067]]"
1142,"[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]"
1158,"[[3.7770114, 7.2991429], [4.0335816, 7.2991429], [4.0335816, 7.5590064], [3.7770114, 7.5590064]]"
1206,"[[-124.85308, 49.210907], [-124.761304, 49.210907], [-124.761304, 49.275265], [-124.85308, 49.275265]]"
1218,"[[152.668522848, -27.767440994], [153.31787024, -27.767440994], [153.31787024, -26.996844991], [152.668522848, -26.996844991]]"
1220,"[[78.8612223, 20.7552323], [79.2043586, 20.7552323], [79.2043586, 21.2212847], [78.8612223, 21.2212847]]"
1230,"[[-83.2859036, 42.503595], [-83.266152, 42.503595], [-83.266152, 42.5304211], [-83.2859036, 42.5304211]]"
1256,"[[-72.557247, 42.6969837], [-70.575095, 42.6969837], [-70.575095, 45.305476], [-72.557247, 45.305476]]"
1259,"[[18.925169, 47.3494477], [19.3344868, 47.3494477], [19.3344868, 47.613013], [18.925169, 47.613013]]"
1260,"[[115.617614368, -32.675715325], [116.239023008, -32.675715325], [116.239023008, -31.6244855145], [115.617614368, -31.6244855145]]"
1295,"[[-1.95729593780907, 50.5746064789388], [1.45178800018019, 50.5746064789388], [1.45178800018019, 52.1962850088601], [-1.95729593780907, 52.1962850088601]]"
1306,"[[-0.1114755, 51.4194247], [-0.0297308, 51.4194247], [-0.0297308, 51.509947], [-0.1114755, 51.509947]]"
1325,"[[-73.972965, 45.410095], [-73.473085, 45.410095], [-73.473085, 45.705566], [-73.972965, 45.705566]]"
1395,"[[-98.289206, 18.83765], [-98.019327, 18.83765], [-98.019327, 19.226809], [-98.289206, 19.226809]]"
1423,"[[-83.353955, 32.04683], [-78.499301, 32.04683], [-78.499301, 35.215449], [-83.353955, 35.215449]]"
1484,"[[8.4201604, 53.395118], [10.325199, 53.395118], [10.325199, 53.9646546], [8.4201604, 53.9646546]]"
1541,"[[-85.4422302, 9.8233318], [-84.1580353, 9.8233318], [-84.1580353, 11.0793161], [-85.4422302, 11.0793161]]"
1554,"[[-80.248975, 25.9862279], [-80.107808, 25.9862279], [-80.107808, 26.093132], [-80.248975, 26.093132]]"
1559,"[[60.4784431, 29.3774719], [74.879448, 29.3774719], [74.879448, 38.4834175], [60.4784431, 38.4834175]]"
1560,"[[-75.4314, 40.578043], [-75.3029926, 40.578043], [-75.3029926, 40.672508], [-75.4314, 40.672508]]"
1563,"[[-8.19417899950185, 54.0227179827604], [-5.43284099988887, 54.0227179827604], [-5.43284099988887, 55.3116860009633], [-8.19417899950185, 55.3116860009633]]"
1595,"[[-88.779027, 40.3226294], [-88.7486701, 40.3226294], [-88.7486701, 40.357618], [-88.779027, 40.357618]]"
1650,"[[0.245025, 51.1803086], [0.310677, 51.1803086], [0.310677, 51.2286878], [0.245025, 51.2286878]]"
1664,"[[80.241275, 16.074502], [80.689809, 16.074502], [80.689809, 16.625798], [80.241275, 16.625798]]"
1678,"[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]"
1715,"[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]"
1732,"[[-88.305771, 42.9020744], [-88.174237, 42.9020744], [-88.174237, 43.061202], [-88.305771, 43.061202]]"
1749,"[[33.0453096, 0.3849308], [33.3798758, 0.3849308], [33.3798758, 0.7091918], [33.0453096, 0.7091918]]"
1793,"[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]"
1794,"[[6.118717, 46.266089], [6.198696, 46.266089], [6.198696, 46.317377], [6.118717, 46.317377]]"
1811,"[[-87.334709, 41.42262], [-87.334709, 41.42262], [-87.334709, 41.42262], [-87.334709, 41.42262]]"
1845,"[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]"
1854,"[[-80.40045, 40.937588], [-80.26887, 40.937588], [-80.26887, 41.070935], [-80.40045, 41.070935]]"
1894,"[[4.1903465, 52.0148713], [4.4224441, 52.0148713], [4.4224441, 52.1388646], [4.1903465, 52.1388646]]"
1911,"[[-73.579657, 40.733799], [-73.542988, 40.733799], [-73.542988, 40.756683], [-73.579657, 40.756683]]"
1948,"[[-80.2006, 26.644671], [-80.044639, 26.644671], [-80.044639, 26.7991205], [-80.2006, 26.7991205]]"
2002,"[[-63.196592, 46.217197], [-63.073864, 46.217197], [-63.073864, 46.306243], [-63.196592, 46.306243]]"
2006,"[[2.7286875, 7.9862746], [6.2165322, 7.9862746], [6.2165322, 10.1837937], [2.7286875, 10.1837937]]"
2017,"[[-71.456408, 42.018277], [-71.359085, 42.018277], [-71.359085, 42.139469], [-71.456408, 42.139469]]"
2019,"[[5.2041784, 52.2545905], [5.3353416, 52.2545905], [5.3353416, 52.3076225], [5.2041784, 52.3076225]]"
2024,"[[-2.319934, 53.343623], [-2.147026, 53.343623], [-2.147026, 53.5702824], [-2.319934, 53.5702824]]"
2070,"[[-112.0383105, 40.6998952], [-111.795741, 40.6998952], [-111.795741, 40.8317151], [-112.0383105, 40.8317151]]"
2076,"[[4.7822169, 45.7889719], [4.8184374, 45.7889719], [4.8184374, 45.8428448], [4.7822169, 45.8428448]]"
2091,"[[-2.56475248726412, 53.3015341502953], [0.149787002205902, 53.3015341502953], [0.149787002205902, 54.5621550270294], [-2.56475248726412, 54.5621550270294]]"
2150,"[[76.776024, 30.520557], [77.17567, 30.520557], [77.17567, 30.926706], [76.776024, 30.926706]]"
2216,"[[18.925169, 47.3494477], [19.3344868, 47.3494477], [19.3344868, 47.613013], [18.925169, 47.613013]]"
2233,"[[18.925169, 47.3494477], [19.3344868, 47.3494477], [19.3344868, 47.613013], [18.925169, 47.613013]]"
2240,"[[144.593741856, -38.433859306], [145.512528832, -38.433859306], [145.512528832, -37.5112737225], [144.593741856, -37.5112737225]]"
2268,"[[-3.23560072135158, 51.8259029271059], [-1.17213601934124, 51.8259029271059], [-1.17213601934124, 53.2262100153425], [-3.23560072135158, 53.2262100153425]]"
2337,"[[-2.9860102, 43.2136542], [-2.8803248, 43.2136542], [-2.8803248, 43.2901452], [-2.9860102, 43.2901452]]"
2344,"[[-7.66085699743185, 54.6336309570711], [-0.740025000483186, 54.6336309570711], [-0.740025000483186, 60.8452769694519], [-7.66085699743185, 60.8452769694519]]"
2347,"[[-8.6846649, 37.1085999], [-8.4851984, 37.1085999], [-8.4851984, 37.2799177], [-8.6846649, 37.2799177]]"
2400,"[[5.955894, 45.8177919], [10.49238, 45.8177919], [10.49238, 47.808381], [5.955894, 47.808381]]"
2423,"[[30.2563496, -29.6999989], [30.4512134, -29.6999989], [30.4512134, -29.5328007], [30.2563496, -29.5328007]]"
2444,"[[-73.96916822551626, 40.749481430376754], [-73.96916822551626, 40.749481430376754], [-73.96916822551626, 40.749481430376754], [-73.96916822551626, 40.749481430376754]]"
2474,"[[78.2478407, 17.150579], [78.7200457, 17.150579], [78.7200457, 17.7123495], [78.2478407, 17.7123495]]"
2548,"[[73.675735, 14.752028], [74.335602, 14.752028], [74.335602, 15.799589], [73.675735, 15.799589]]"
2558,"[[-0.15191, 51.410792], [-0.078902, 51.410792], [-0.078902, 51.509887], [-0.15191, 51.509887]]"
2559,"[[73.675735, 14.752028], [74.335602, 14.752028], [74.335602, 15.799589], [73.675735, 15.799589]]"
2604,"[[-0.080028, 51.48432], [0.009989, 51.48432], [0.009989, 51.545341], [-0.080028, 51.545341]]"
2614,"[[72.529616, 23.088656], [72.814936, 23.088656], [72.814936, 23.341798], [72.529616, 23.341798]]"
2627,"[[-0.230949, 51.21315], [-0.130394, 51.21315], [-0.130394, 51.268978], [-0.230949, 51.268978]]"
2644,"[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]"
2645,"[[152.668522848, -27.767440994], [153.31787024, -27.767440994], [153.31787024, -26.996844991], [152.668522848, -26.996844991]]"
2653,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
2666,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
2696,"[[66.95121, 24.802239], [67.133179, 24.802239], [67.133179, 25.007912], [66.95121, 25.007912]]"
2786,"[[77.373474, 12.919037], [77.739371, 12.919037], [77.739371, 13.231381], [77.373474, 13.231381]]"
2811,"[[77.2255693790257, 28.589162326315716], [77.2255693790257, 28.589162326315716], [77.2255693790257, 28.589162326315716], [77.2255693790257, 28.589162326315716]]"
2834,"[[175.805921, -38.026823], [176.602945, -38.026823], [176.602945, -37.373242], [175.805921, -37.373242]]"
2845,"[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]"
2860,"[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]"
2906,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
2909,"[[-78.959206, 43.614586], [-78.68523, 43.614586], [-78.68523, 44.047385], [-78.959206, 44.047385]]"
2930,"[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]"
2933,"[[120.5423691, 16.3656191], [120.6345122, 16.3656191], [120.6345122, 16.4389407], [120.5423691, 16.4389407]]"
2948,"[[72.4367386, 22.9232559], [72.7037246, 22.9232559], [72.7037246, 23.1046616], [72.4367386, 23.1046616]]"
2950,"[[-156.690251, 20.946851], [-156.6463587, 20.946851], [-156.6463587, 21.0034234], [-156.690251, 21.0034234]]"
2964,"[[72.4367386, 22.9232559], [72.7037246, 22.9232559], [72.7037246, 23.1046616], [72.4367386, 23.1046616]]"
2986,"[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]"
2996,"[[171.11351, -43.903721], [172.627771, -43.903721], [172.627771, -42.740797], [171.11351, -42.740797]]"
3017,"[[-74.212164, 40.405023], [-74.1312578, 40.405023], [-74.1312578, 40.448458], [-74.212164, 40.448458]]"
3026,"[[-94.61771, 33.004106], [-89.644838, 33.004106], [-89.644838, 36.499767], [-94.61771, 36.499767]]"
3029,"[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]"
3123,"[[110.369586, -7.8045923], [110.447993, -7.8045923], [110.447993, -7.730799], [110.369586, -7.730799]]"
3125,"[[-94.61771, 33.004106], [-89.644838, 33.004106], [-89.644838, 36.499767], [-94.61771, 36.499767]]"
3137,"[[-97.350366, 49.713679], [-96.954987, 49.713679], [-96.954987, 49.993932], [-97.350366, 49.993932]]"
3181,"[[139.708754, 35.622973], [139.782004, 35.622973], [139.782004, 35.682605], [139.708754, 35.682605]]"
3218,"[[-82.265659, 41.373736], [-82.164579, 41.373736], [-82.164579, 41.426754], [-82.265659, 41.426754]]"
3222,"[[144.593741856, -38.433859306], [145.512528832, -38.433859306], [145.512528832, -37.5112737225], [144.593741856, -37.5112737225]]"
3254,"[[150.520928608, -34.1183470085], [151.343020992, -34.1183470085], [151.343020992, -33.578140996], [150.520928608, -33.578140996]]"
3280,"[[-83.29157241332666, 42.63665593388522], [-83.29157241332666, 42.63665593388522], [-83.29157241332666, 42.63665593388522], [-83.29157241332666, 42.63665593388522]]"
3302,"[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]"
3307,"[[-78.3688776, 17.7057855], [-76.183028, 17.7057855], [-76.183028, 18.5250291], [-78.3688776, 18.5250291]]"
3331,"[[115.617614368, -32.675715325], [116.239023008, -32.675715325], [116.239023008, -31.6244855145], [115.617614368, -31.6244855145]]"
3332,"[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]"
3334,"[[-79.429128, 43.798004], [-79.170217, 43.798004], [-79.170217, 43.963385], [-79.429128, 43.963385]]"
