,place_coord_boundaries
3335,"[[115.617614368, -32.675715325], [116.239023008, -32.675715325], [116.239023008, -31.6244855145], [115.617614368, -31.6244855145]]"
3396,"[[150.520928608, -34.1183470085], [151.343020992, -34.1183470085], [151.343020992, -33.578140996], [150.520928608, -33.578140996]]"
3432,"[[-73.5765284733846, 45.504589762590896], [-73.5765284733846, 45.504589762590896], [-73.5765284733846, 45.504589762590896], [-73.5765284733846, 45.504589762590896]]"
3467,"[[51.4477039, 25.2216], [51.630581, 25.2216], [51.630581, 25.4277362], [51.4477039, 25.4277362]]"
3470,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]"
3500,"[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]"
3511,"[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]"
3520,"[[13.088304, 52.338079], [13.760909, 52.338079], [13.760909, 52.675323], [13.088304, 52.675323]]"
3524,"[[9.0106167, 39.1579821], [9.1810219, 39.1579821], [9.1810219, 39.2827906], [9.0106167, 39.2827906]]"
3526,"[[-90.310298, 34.982924], [-81.646901, 34.982924], [-81.646901, 36.678119], [-90.310298, 36.678119]]"
3572,"[[-105.015543, 39.838926], [-104.884147, 39.838926], [-104.884147, 39.972023], [-105.015543, 39.972023]]"
3579,"[[152.668522848, -27.767440994], [153.31787024, -27.767440994], [153.31787024, -26.996844991], [152.668522848, -26.996844991]]"
3676,"[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]"
3677,"[[-0.187894, 51.483718], [-0.109978, 51.483718], [-0.109978, 51.5164655], [-0.187894, 51.5164655]]"
3694,"[[-75.69345559934791, 45.42045882271603], [-75.69345559934791, 45.42045882271603], [-75.69345559934791, 45.42045882271603], [-75.69345559934791, 45.42045882271603]]"
3726,"[[-123.1282715, 49.293965], [-122.8696693, 49.293965], [-122.8696693, 49.413962], [-123.1282715, 49.413962]]"
3746,"[[-123.1282715, 49.293965], [-122.8696693, 49.293965], [-122.8696693, 49.413962], [-123.1282715, 49.413962]]"
3793,"[[-91.6110574, 41.599181], [-91.463067, 41.599181], [-91.463067, 41.6955258], [-91.6110574, 41.6955258]]"
3826,"[[-77.158594, 38.940225], [-77.078411, 38.940225], [-77.078411, 39.0224493], [-77.158594, 39.0224493]]"
3864,"[[-77.534189, 43.1963], [-77.3752762, 43.1963], [-77.3752762, 43.267749], [-77.534189, 43.267749]]"
3865,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
3920,"[[-10.2445252, 52.9675677], [-7.9684842, 52.9675677], [-7.9684842, 53.7190576], [-10.2445252, 53.7190576]]"
3956,"[[-77.158594, 38.940225], [-77.078411, 38.940225], [-77.078411, 39.0224493], [-77.158594, 39.0224493]]"
4062,"[[-6.0361161, 54.543241], [-5.8207101, 54.543241], [-5.8207101, 54.6484968], [-6.0361161, 54.6484968]]"
4137,"[[-1.5957865, 52.330628], [-1.548398, 52.330628], [-1.548398, 52.36176], [-1.5957865, 52.36176]]"
4167,"[[-1.476463, 50.883056], [-1.3164712, 50.883056], [-1.3164712, 50.959599], [-1.476463, 50.959599]]"
4184,"[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]"
4190,"[[-0.4430536, 50.804766], [-0.3370275, 50.804766], [-0.3370275, 50.857913], [-0.4430536, 50.857913]]"
4225,"[[73.022194, 33.662724], [73.131447, 33.662724], [73.131447, 33.762138], [73.022194, 33.762138]]"
4234,"[[-79.34914033668834, 43.684873888059535], [-79.34914033668834, 43.684873888059535], [-79.34914033668834, 43.684873888059535], [-79.34914033668834, 43.684873888059535]]"
4239,"[[-79.487651, 37.886607], [-74.986286, 37.886607], [-74.986286, 39.723622], [-79.487651, 39.723622]]"
4286,"[[-0.254563, 51.463873], [-0.177653, 51.463873], [-0.177653, 51.532901], [-0.254563, 51.532901]]"
4362,"[[-2.994831, 51.31404], [-2.8954284, 51.31404], [-2.8954284, 51.3795521], [-2.994831, 51.3795521]]"
4418,"[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]"
4486,"[[-91.6110574, 41.599181], [-91.463067, 41.599181], [-91.463067, 41.6955258], [-91.6110574, 41.6955258]]"
4582,"[[83.085644, 26.488899], [83.634258, 26.488899], [83.634258, 26.999921], [83.085644, 26.999921]]"
4600,"[[-124.0634715, 46.3386718], [-124.047967, 46.3386718], [-124.047967, 46.368265], [-124.0634715, 46.368265]]"
4682,"[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]"
4717,"[[35.0757711, 33.054742], [36.6232583, 33.054742], [36.6232583, 34.6919892], [35.0757711, 34.6919892]]"
4831,"[[4.7288999, 52.2782266], [5.0792072, 52.2782266], [5.0792072, 52.4312289], [4.7288999, 52.4312289]]"
4837,"[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]"
4912,"[[103.605441448115, 1.16638900001529], [103.801598130067, 1.16638900001529], [103.801598130067, 1.43574600007885], [103.605441448115, 1.43574600007885]]"
4938,"[[-74.725709, 43.128961], [-71.347515, 43.128961], [-71.347515, 45.01666], [-74.725709, 45.01666]]"
4949,"[[19.26276, 39.6444968], [21.0578283, 39.6444968], [21.0578283, 42.66502], [19.26276, 42.66502]]"
5054,"[[-114.3160379, 50.84278], [-113.859664, 50.84278], [-113.859664, 51.212548], [-114.3160379, 51.212548]]"
5078,"[[17.7601322, 59.2271383], [18.1999856, 59.2271383], [18.1999856, 59.4402037], [17.7601322, 59.4402037]]"
5082,"[[-86.339696, 43.201538], [-86.144095, 43.201538], [-86.144095, 43.264395], [-86.339696, 43.264395]]"
5087,"[[-86.339696, 43.201538], [-86.144095, 43.201538], [-86.144095, 43.264395], [-86.339696, 43.264395]]"
5108,"[[7.438666, 49.285229], [7.493478, 49.285229], [7.493478, 49.320678], [7.438666, 49.320678]]"
5155,"[[32.2692963, 34.562636], [34.6063538, 34.562636], [34.6063538, 35.7087061], [32.2692963, 35.7087061]]"
5196,"[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]"
5197,"[[-4.176128, 53.2046503], [-4.1070571, 53.2046503], [-4.1070571, 53.236817], [-4.176128, 53.236817]]"
5284,"[[-71.4741855, 41.772455], [-71.369479, 41.772455], [-71.369479, 41.861713], [-71.4741855, 41.861713]]"
5295,"[[-82.374927, 44.088966], [-81.296298, 44.088966], [-81.296298, 44.752022], [-82.374927, 44.752022]]"
5333,"[[-1.5712343, 51.9321273], [-1.5323288, 51.9321273], [-1.5323288, 51.948995], [-1.5712343, 51.948995]]"
5352,"[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]"
5371,"[[-0.39216, 51.391383], [-0.221832, 51.391383], [-0.221832, 51.489646], [-0.39216, 51.489646]]"
5404,"[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]"
5410,"[[-7.66085699743185, 54.6336309570711], [-0.740025000483186, 54.6336309570711], [-0.740025000483186, 60.8452769694519], [-7.66085699743185, 60.8452769694519]]"
5417,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
5437,"[[-71.4741855, 41.772455], [-71.369479, 41.772455], [-71.369479, 41.861713], [-71.4741855, 41.861713]]"
5463,"[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]"
5519,"[[-75.908759, 45.366368], [-75.3413168, 45.366368], [-75.3413168, 45.599121], [-75.908759, 45.599121]]"
5534,"[[-114.513925, 51.153295], [-114.4202036, 51.153295], [-114.4202036, 51.225517], [-114.513925, 51.225517]]"
5560,"[[-91.6110574, 41.599181], [-91.463067, 41.599181], [-91.463067, 41.6955258], [-91.6110574, 41.6955258]]"
5639,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]"
5642,"[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]"
5644,"[[69.328873, 27.708226], [75.382124, 27.708226], [75.382124, 34.019989], [69.328873, 34.019989]]"
5647,"[[-96.6396669, 40.375437], [-90.140061, 40.375437], [-90.140061, 43.50102], [-96.6396669, 43.50102]]"
5648,"[[-83.113623, 42.2339053], [-82.890548, 42.2339053], [-82.890548, 42.356225], [-83.113623, 42.356225]]"
5659,"[[-105.015543, 39.838926], [-104.884147, 39.838926], [-104.884147, 39.972023], [-105.015543, 39.972023]]"
5695,"[[-0.104501, 51.518605], [-0.015834, 51.518605], [-0.015834, 51.5766844], [-0.104501, 51.5766844]]"
5803,"[[-77.158594, 38.940225], [-77.078411, 38.940225], [-77.078411, 39.0224493], [-77.158594, 39.0224493]]"
5903,"[[4.432585583975868, 51.923622117835954], [4.432585583975868, 51.923622117835954], [4.432585583975868, 51.923622117835954], [4.432585583975868, 51.923622117835954]]"
5904,"[[-90.491849, 38.639901], [-90.392072, 38.639901], [-90.392072, 38.6963087], [-90.491849, 38.6963087]]"
5928,"[[-0.18576, 51.604519], [-0.0125671, 51.604519], [-0.0125671, 51.686032], [-0.18576, 51.686032]]"
5969,"[[13.019628, 47.084267], [13.167058, 47.084267], [13.167058, 47.235278], [13.019628, 47.235278]]"
5982,"[[29.99120451686215, 59.863526219132545], [29.99120451686215, 59.863526219132545], [29.99120451686215, 59.863526219132545], [29.99120451686215, 59.863526219132545]]"
6058,"[[-96.6396669, 40.375437], [-90.140061, 40.375437], [-90.140061, 43.50102], [-96.6396669, 43.50102]]"
6116,"[[-0.3688314, 51.014555], [-0.3388915, 51.014555], [-0.3388915, 51.0476638], [-0.3688314, 51.0476638]]"
6181,"[[-8.4811193, 52.5812343], [-7.6275721, 52.5812343], [-7.6275721, 53.1677498], [-8.4811193, 53.1677498]]"
6216,"[[-93.556704, 44.978417], [-93.400552, 44.978417], [-93.400552, 45.0729], [-93.556704, 45.0729]]"
6223,"[[-3.8890049, 40.3120713], [-3.5180102, 40.3120713], [-3.5180102, 40.6435181], [-3.8890049, 40.6435181]]"
6224,"[[-86.505805, 35.751433], [-86.313415, 35.751433], [-86.313415, 35.943407], [-86.505805, 35.943407]]"
6261,"[[-93.12832, 34.434369], [-92.914247, 34.434369], [-92.914247, 34.538694], [-93.12832, 34.538694]]"
6263,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
6271,"[[13.019628, 47.084267], [13.167058, 47.084267], [13.167058, 47.235278], [13.019628, 47.235278]]"
6365,"[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]"
6418,"[[-93.12832, 34.434369], [-92.914247, 34.434369], [-92.914247, 34.538694], [-93.12832, 34.538694]]"
6427,"[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]"
6520,"[[-97.350366, 49.713679], [-96.954987, 49.713679], [-96.954987, 49.993932], [-97.350366, 49.993932]]"
6554,"[[-7.66085699743185, 54.6336309570711], [-0.740025000483186, 54.6336309570711], [-0.740025000483186, 60.8452769694519], [-7.66085699743185, 60.8452769694519]]"
6564,"[[-78.565956, 33.8732775], [-78.466919, 33.8732775], [-78.466919, 33.929344], [-78.565956, 33.929344]]"
6572,"[[7.5779802, 45.0055411], [7.7735908, 45.0055411], [7.7735908, 45.1402043], [7.5779802, 45.1402043]]"
6586,"[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]"
6591,"[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]"
6616,"[[-6.5468143, 53.178753], [-6.252228, 53.178753], [-6.252228, 53.3682523], [-6.5468143, 53.3682523]]"
6645,"[[1.080691, 51.3494814], [1.1774144, 51.3494814], [1.1774144, 51.374819], [1.080691, 51.374819]]"
6655,"[[-73.745859, 40.591812], [-73.686294, 40.591812], [-73.686294, 40.621622], [-73.745859, 40.621622]]"
6733,"[[115.16341461749808, -8.7018458775261], [115.16341461749808, -8.7018458775261], [115.16341461749808, -8.7018458775261], [115.16341461749808, -8.7018458775261]]"
6738,"[[-2.994831, 51.31404], [-2.8954284, 51.31404], [-2.8954284, 51.3795521], [-2.994831, 51.3795521]]"
6787,"[[-78.801819, 42.803843], [-78.696854, 42.803843], [-78.696854, 42.874972], [-78.801819, 42.874972]]"
6869,"[[-1.3033225, 5.0994766], [-1.2259741, 5.0994766], [-1.2259741, 5.1384245], [-1.3033225, 5.1384245]]"
6919,"[[-0.0335507, 51.436221], [0.06353, 51.436221], [0.06353, 51.506788], [-0.0335507, 51.506788]]"
7006,"[[18.433671, 41.855152], [20.3529382, 41.855152], [20.3529382, 43.5520706], [18.433671, 43.5520706]]"
7033,"[[-79.891914, 43.977053], [-79.670157, 43.977053], [-79.670157, 44.185296], [-79.891914, 44.185296]]"
7040,"[[18.433671, 41.855152], [20.3529382, 41.855152], [20.3529382, 43.5520706], [18.433671, 43.5520706]]"
7149,"[[14.9418407, 40.3788432], [15.1135503, 40.3788432], [15.1135503, 40.5084963], [14.9418407, 40.5084963]]"
7156,"[[6.1102335, 46.177632], [6.175817, 46.177632], [6.175817, 46.2318837], [6.1102335, 46.2318837]]"
7206,"[[21.1125687, 45.6836815], [21.298482, 45.6836815], [21.298482, 45.8337052], [21.1125687, 45.8337052]]"
7311,"[[31.8012414, 0.2057044], [32.2682064, 0.2057044], [32.2682064, 0.6924703], [31.8012414, 0.6924703]]"
7334,"[[-2.319934, 53.343623], [-2.147026, 53.343623], [-2.147026, 53.5702824], [-2.319934, 53.5702824]]"
7389,"[[12.2344266, 41.6558738], [12.8558641, 41.6558738], [12.8558641, 42.140959], [12.2344266, 42.140959]]"
7407,"[[-0.510364798739281, 51.2867019756122], [0.334043461659515, 51.2867019756122], [0.334043461659515, 51.6918240878432], [-0.510364798739281, 51.6918240878432]]"
7454,"[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]"
7463,"[[-2.5437584, 36.7374325], [-2.2036381, 36.7374325], [-2.2036381, 37.0000632], [-2.5437584, 37.0000632]]"
7472,"[[-0.3229167, 51.3428601], [-0.234011, 51.3428601], [-0.234011, 51.437266], [-0.3229167, 51.437266]]"
7475,"[[7.10211, 51.410421], [7.349349, 51.410421], [7.349349, 51.531405], [7.10211, 51.531405]]"
7526,"[[-3.3285119, 55.894729], [-3.077505, 55.894729], [-3.077505, 55.991662], [-3.3285119, 55.991662]]"
7565,"[[27.7518557, -26.5126489], [28.1843404, -26.5126489], [28.1843404, -26.0396281], [27.7518557, -26.0396281]]"
7577,"[[-6.3061112, 36.516968], [-5.4551369, 36.516968], [-5.4551369, 36.8644128], [-6.3061112, 36.8644128]]"
7578,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
7621,"[[-8.662663, 49.1626564], [1.768926, 49.1626564], [1.768926, 60.86165], [-8.662663, 60.86165]]"
7623,"[[77.20555523250157, 28.62918221565877], [77.20555523250157, 28.62918221565877], [77.20555523250157, 28.62918221565877], [77.20555523250157, 28.62918221565877]]"
7677,"[[77.997378, 11.510872], [78.477221, 11.510872], [78.477221, 11.935424], [77.997378, 11.935424]]"
7681,"[[4.3789137, 50.8224274], [4.4114812, 50.8224274], [4.4114812, 50.8446771], [4.3789137, 50.8446771]]"
7684,"[[24.499764, 60.00307], [24.850506, 60.00307], [24.850506, 60.363616], [24.499764, 60.363616]]"
7768,"[[-2.1899763, 57.107695], [-2.0641046, 57.107695], [-2.0641046, 57.2134174], [-2.1899763, 57.2134174]]"
7834,"[[144.593741856, -38.433859306], [145.512528832, -38.433859306], [145.512528832, -37.5112737225], [144.593741856, -37.5112737225]]"
7867,"[[-4.360764, 55.9010777], [-4.2971064, 55.9010777], [-4.2971064, 55.9529553], [-4.360764, 55.9529553]]"
7871,"[[77.302126, 28.443981], [77.695326, 28.443981], [77.695326, 28.647131], [77.302126, 28.647131]]"
7943,"[[-2.142873, 51.8618636], [-2.032676, 51.8618636], [-2.032676, 51.9307634], [-2.142873, 51.9307634]]"
7976,"[[-0.016438, 50.860155], [0.0283583, 50.860155], [0.0283583, 50.886605], [-0.016438, 50.886605]]"
7987,"[[-0.016438, 50.860155], [0.0283583, 50.860155], [0.0283583, 50.886605], [-0.016438, 50.886605]]"
8023,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]"
8035,"[[-1.810417, 50.7239785], [-1.6817148, 50.7239785], [-1.6817148, 50.763847], [-1.810417, 50.763847]]"
8051,"[[-113.71368, 53.395531], [-113.271555, 53.395531], [-113.271555, 53.7161084], [-113.71368, 53.7161084]]"
8054,"[[-2.659936, 51.399367], [-2.510844, 51.399367], [-2.510844, 51.516387], [-2.659936, 51.516387]]"
8098,"[[-73.888831, 40.97653], [-73.857066, 40.97653], [-73.857066, 41.0039], [-73.888831, 41.0039]]"
8099,"[[-0.080028, 51.48432], [0.009989, 51.48432], [0.009989, 51.545341], [-0.080028, 51.545341]]"
8128,"[[5.5466377, 51.990908], [5.9513886, 51.990908], [5.9513886, 52.1522634], [5.5466377, 52.1522634]]"
8196,"[[24.78281, 60.021032], [25.2544364, 60.021032], [25.2544364, 60.2979104], [24.78281, 60.2979104]]"
