,JNK_value1,JNK_value2,JNK_RoC,JNK_RoC_qqe,JNK_gmean,LQD_value1,LQD_value2,LQD_RoC,LQD_RoC_qqe,LQD_gmean,CWB_value1,CWB_value2,CWB_RoC,CWB_RoC_qqe,CWB_gmean,ITA_value1,ITA_value2,ITA_RoC,ITA_RoC_qqe,ITA_gmean,HYG_value1,HYG_value2,HYG_RoC,HYG_RoC_qqe,HYG_gmean,PBS_value1,PBS_value2,PBS_RoC,PBS_RoC_qqe,PBS_gmean,PSP_value1,PSP_value2,PSP_RoC,PSP_RoC_qqe,PSP_gmean,PRF_value1,PRF_value2,PRF_RoC,PRF_RoC_qqe,PRF_gmean,IWS_value1,IWS_value2,IWS_RoC,IWS_RoC_qqe,IWS_gmean,RSP_value1,RSP_value2,RSP_RoC,RSP_RoC_qqe,RSP_gmean,XLB_value1,XLB_value2,XLB_RoC,XLB_RoC_qqe,XLB_gmean,IWP_value1,IWP_value2,IWP_RoC,IWP_RoC_qqe,IWP_gmean,IAI_value1,IAI_value2,IAI_RoC,IAI_RoC_qqe,IAI_gmean,IWR_value1,IWR_value2,IWR_RoC,IWR_RoC_qqe,IWR_gmean,SPXL_value1,SPXL_value2,SPXL_RoC,SPXL_RoC_qqe,SPXL_gmean,ITOT_value1,ITOT_value2,ITOT_RoC,ITOT_RoC_qqe,ITOT_gmean,IHI_value1,IHI_value2,IHI_RoC,IHI_RoC_qqe,IHI_gmean,PRFZ_value1,PRFZ_value2,PRFZ_RoC,PRFZ_RoC_qqe,PRFZ_gmean,JKE_value1,JKE_value2,JKE_RoC,JKE_RoC_qqe,JKE_gmean,RPV_value1,RPV_value2,RPV_RoC,RPV_RoC_qqe,RPV_gmean,XLG_value1,XLG_value2,XLG_RoC,XLG_RoC_qqe,XLG_gmean
2019-12-03,-12.823569096510973,-12.409707419502706,0.2227928575840643,91.16694574174824,89.31283667425282,-6.499521078487767,-6.275703001265883,0.9125841517900968,96.8140477469897,95.71714994827592,-8.291723374135202,-8.612155134065366,0.4740390751032386,104.29485238192815,101.68548069574261,-0.7258945654762741,-0.28021116678635866,-1.917049252233738,95.05149697478676,97.92118539247745,-12.633156881672164,-12.206193589624137,0.14262289056483635,91.3239612646305,89.48636048425435,-6.844524108219268,-7.152421965050636,-0.15703477405084598,109.65735862217434,110.78527757433778,-2.0794357922556443,-2.360271602058928,0.7811264170866972,106.93626770838958,103.66736307727858,-0.2521454527939042,0.1667505871534281,-0.40992951322929017,92.64818373934501,93.08140967168397,-6.376170856069237,-5.992982353176112,-0.15730497909416385,87.8776093604706,87.74939013359979,-4.350847553282591,-3.9995368986021806,-0.1992564961874721,94.79935217430844,94.92876040110532,-2.955382756895226,-2.656095485319009,-0.0016542893349735799,92.0195947208016,91.5363940316937,-2.6157725583284304,-3.034918827789593,0.38123425462703864,121.49300962218973,123.95207729047587,1.407620639361994,1.0087153748722968,-0.34410529320448857,111.60150530055756,114.25796699108378,-5.9881698402757095,-6.221477978589859,0.14325762333626813,105.9665963309679,105.56223869731757,9.553535805474795,9.368044146453443,-1.1530072188842944,113.41274101075267,118.89275181227707,-1.480329614321363,-1.6779304636872396,0.1839190087312259,114.6715075863385,112.79048569940522,-0.5316402230854109,-0.9836244495743264,1.7258417322318254,130.37311423311937,127.24239225746126,-0.9856251611984135,-0.6515153178276551,0.6460320036755007,98.8053959382874,97.25752466479348,-3.496110130362318,-3.9121910558784565,0.8723298478246821,125.040474598501,124.43938200592531,0.5425975223451687,1.003463822237165,-1.410548453555649,93.3349026473696,94.62581715336495,5.037973736346245,4.750254736714399,0.13820177066445893,105.92839014017439,105.24093546861313
2019-12-04,-12.836278043337913,-12.409707419502706,0.4180037614128329,93.04257334844172,90.51586753623606,-6.435924323084052,-6.275703001265883,0.5896391970252823,97.98198429143947,96.31904282540074,-8.077774945733985,-8.396878525216126,0.18972449095837618,105.7296404878697,102.97926431329101,-1.063316507093404,-0.6189974922770058,-1.8187039543747785,93.58114951384181,96.08649018800368,-12.654386458032242,-12.206193589624137,0.3354352971733032,93.08332846369262,90.67111934894771,-6.6863178250549,-6.9955620590505525,-0.8418441764694196,108.00244903517344,109.8320529607935,-1.80769113260029,-2.0873008662228667,0.8554868724884646,109.44306715919292,105.77125231975131,-0.47136190226364505,-0.052246285674020065,-0.2314291249857825,92.53091049673796,92.89674847950576,-6.56438879284952,-6.180737435337423,-0.1476585927286722,88.12035252284736,87.76811201193595,-4.477126740853095,-4.128531962450937,-0.21474081100293363,94.3308337971361,94.8407274719329,-3.2488266895366635,-2.947804090402304,-0.2796795457892909,91.86332698080494,91.75136263601593,-2.3038593930880396,-2.727351142101973,0.02470082682544117,119.4032453378445,121.88246869145394,1.7282284853028784,1.3243836444297374,-0.6155272987535598,109.35598774286825,112.43956103653666,-5.914923900469276,-6.146523150464892,-0.07517852283581705,105.45060152403371,105.36998416432469,9.472664811246624,9.368044146453443,-1.425878793242219,108.31214094576504,115.40251349296051,-1.2711135986361697,-1.4693879233405116,0.05979915061411489,114.511471321173,113.34984881574081,-0.11564319872393725,-0.567527837038881,1.5105595788637238,132.55132194692638,128.78687338385606,-1.0591236322832884,-0.7278793038863386,-0.45862119001270907,98.32112724392925,97.879494116761,-3.1198665098545177,-3.5403352352806743,0.4241152257826286,124.44053470610919,124.34609271171878,0.14807681490797364,0.6084144416982467,-1.272057775169988,92.16269300697047,93.8117277054592,5.062690108983723,4.7763233738917545,0.12427127570464602,106.0643759197768,105.81499064750584
2019-12-05,-12.867455041014807,-12.409707419502706,0.4001825425256955,94.87269551990556,92.08534242918435,-6.423959241694156,-6.275703001265883,0.2677392771912812,98.82709923987424,97.20541224391476,-7.970203476349731,-8.287646690789234,0.08964428294870874,106.6936387837055,104.51781965471812,-1.4050698761621305,-0.9618239799915322,-2.1804585049743808,91.80093578280255,94.28291569776616,-12.68127519437742,-12.206193589624137,0.4172972935800212,94.9048936962634,92.21369314526363,-6.613762014923175,-6.923696612641506,-1.3342544788022992,105.86223054666594,108.47570588142341,-1.4199258254410125,-1.6983385396387545,0.901224948320456,111.81297987301981,108.148799415727,-0.6378550408466381,-0.21900788373034075,0.026563025568582255,93.1007780460011,92.89585261204216,-6.647671528301764,-6.263902204099112,0.04140088222934768,89.30243520065507,88.2633890043529,-4.605858874798386,-4.260068774467191,-0.11382469883199908,94.26041597390665,94.67950007418217,-3.4094791535491566,-3.107101152668655,-0.22865354443335484,91.97457539382191,91.88164785351144,-2.137711410541712,-2.564359471407445,-0.5712508122626803,115.64357369813342,119.72076760347502,2.0094700754467567,1.600872821424609,-0.1327349553438273,108.22394886246079,110.72106421569681,-5.911370949098192,-6.141090025966151,-0.23271328182441486,104.09975729797702,105.16079513008911,9.444656172027301,9.368044146453443,-1.3665016156525045,103.86571035982873,110.93322605603565,-1.1405213216022219,-1.3389991498251508,-0.01943886927285865,112.67220326490951,113.37043760710978,0.2125944311565675,-0.2391670052020176,1.1192599556119287,132.90981497836162,130.61851970582106,-1.0910416803320189,-0.7628926662222373,-0.1271341589055841,98.29525585675974,98.29119133575205,-2.8836112832958207,-3.3079605963777996,-0.09293667268734929,121.5903752466382,123.57475689741493,-0.21867744352642404,0.24143184373129833,-0.5830593639211012,91.80435936380687,93.00519472533036,5.09573818973945,4.8109654664214165,0.048402785557666306,105.62049181095684,105.80297622524645
2019-12-06,-13.052651997284173,-12.576311134095478,-0.07394062094684406,96.07216368465001,93.7701223432978,-6.564424137099124,-6.275703001265883,-0.24382366905788544,99.21482707725474,98.20516035534216,-8.035845017954465,-8.287646690789234,-0.11708085087115405,106.93668078738699,105.90859679641967,-1.6921961213985313,-1.2495186119976878,-1.4439814717474242,90.8773132983006,92.81378439291802,-12.864539083449365,-12.381459447410968,-0.03624747771220349,96.11192775617674,93.83840885666726,-6.655508553802619,-6.923696612641506,-1.1932346404333605,104.19586497845413,106.90935938865935,-1.2853954701336932,-1.5631458937372864,0.2733196076955213,111.76765047797812,109.97156495028206,-0.7561296696994688,-0.338398910691056,0.16150805378902788,94.04132068695426,93.07840742360717,-6.786856428556,-6.403754609700133,-0.09668542732109708,89.90700454753538,88.7979260297915,-4.715904575025711,-4.373036369164555,-0.07963665560248856,94.35580885480132,94.43636436796443,-3.523159012396796,-3.2199657219351208,-0.07229446139306317,92.41158397191936,92.06703839398001,-2.0948039357920933,-2.5236100683342078,-0.9203352155919831,111.28777845680288,116.89181435152202,2.3004859011176535,1.888016624822309,0.530354192133009,108.18679890937355,109.33332775493078,-5.959147742493812,-6.141090025966151,-0.384429593054636,102.01246918703255,104.37109882254339,9.573393309230198,9.368044146453443,-0.5672722478319181,100.7037962984604,106.46681358912761,-1.1508708999440245,-1.3389991498251508,-0.1568371294349391,108.3523613377404,112.52264209078096,0.45558767846188175,0.004879628212168197,0.43950022883694206,130.67764543954002,131.6232512835884,-1.028587948510264,-0.7628926662222373,0.06752050912830487,98.58076040364324,98.50041454982345,-2.67434021794228,-3.1019841793811476,-0.22811222952388022,118.51113452877608,122.36795694297531,-0.5359602955401925,-0.07616832356117548,-0.49563882402158255,91.59754038941345,92.22243562319744,5.164801166815764,4.882081809981227,0.057592133436412674,105.29026629413143,105.72545932678153
2019-12-09,-13.105843953931249,-12.62985421278465,0.08153787353244457,97.58851490684502,95.379448851312,-6.633592801139258,-6.275703001265883,-0.11340823394915267,99.7268186364658,98.93562594761357,-8.0685750876685,-8.287646690789234,-0.24744380461169113,106.36401855859089,106.4300288486208,-2.037659893081134,-1.5950658865442766,-1.8048494596181297,89.64023254974029,91.46364068428474,-12.922283678040856,-12.4397821786355,0.12547229162773732,97.65296456202307,95.42360241485653,-6.693004869642586,-6.923696612641506,-1.1340177430328224,102.71667629317893,105.1759689193044,-1.0269786189602783,-1.3048500463017767,0.6959686872374915,112.98326804926955,111.49430454066908,-0.7749626590718393,-0.3590930662050414,0.3391589529790462,95.52949385181722,93.79379010476585,-6.810307978582841,-6.428484492789829,0.32091522932564676,92.2787077888537,89.88943281473979,-4.815407834708374,-4.475602367449148,-0.01348114824374358,94.72735720041948,94.41842943334952,-3.58969235001981,-3.285615283090011,0.036920126295281186,93.1083559324074,92.33816899100842,-2.159155563253215,-2.5236100683342078,-0.9502274551294598,107.55446386989938,113.38442107466916,2.420038021617245,2.0045926667664706,-0.15597238412816683,107.19548517129138,108.23785505417544,-5.99923949089672,-6.141090025966151,-0.20476657980135204,100.9977769497978,103.12547529840145,9.615921931093638,9.368044146453443,-0.4191424267804722,98.3660100100035,102.74484909094592,-1.0308289019839876,-1.2293486927788648,0.024334239820489323,108.12625794895447,110.88143396994249,0.43531048685654383,0.004879628212168197,-0.6644797245006884,124.9939860864992,130.24404746180943,-0.925994483363425,-0.7628926662222373,0.5105545596490346,99.43791454138142,98.65767907288682,-2.4937545645306187,-2.9239226370594538,-0.35464613268717526,115.28516241790177,119.90806914965903,-0.7645764413006972,-0.305191175530019,-0.24583087860976516,91.78157200190338,91.83631333592858,5.174158285521443,4.893881968552904,-0.14453785552105414,103.39003430418461,105.08631362174077
2019-12-10,-13.024954122132385,-12.62985421278465,0.13510300173260603,99.1166175016591,96.8993800146803,-6.675169194491936,-6.275703001265883,-0.14911676907701787,100.16240495766533,99.4815020896413,-8.099218393890816,-8.287646690789234,-0.4015239775040924,104.95813481005618,106.2353412026925,-2.3894418121283323,-1.9469455152790551,-0.5720873474936772,89.51483726166963,90.45345230431737,-12.850779376432307,-12.4397821786355,0.08633178394648056,98.99879935366978,96.90480539638871,-6.805741445706808,-6.923696612641506,-1.0593215571205739,101.46463899610221,103.54682796399851,-0.6958512246940458,-0.9744216769624874,0.6725355720332393,113.79667448722088,112.58693897620621,-0.7507872514551579,-0.3590930662050414,0.1726589030183412,96.427841538176,94.76609563660621,-6.762330713665158,-6.428484492789829,0.29500292096320546,94.57553209490382,91.49224452136964,-4.904829096055948,-4.568263596814121,-0.018017980056961314,95.07217757426629,94.60339325978265,-3.7934828391500446,-3.4891909737063194,-0.30180663386532025,93.10555589175236,92.64876089689741,-2.234222290432733,-2.5236100683342078,-0.6693819159218073,105.09610298546154,109.82368386269866,2.5178774715956322,2.1004809648246927,-0.45651923422308505,105.93013687532155,107.38000472248044,-6.0429826836448655,-6.141090025966151,-0.12336841436036972,100.4305327530194,101.87559059653114,9.620063120984106,9.368044146453443,1.1480219030669092,98.59335461131981,100.35815865876444,-1.0150436440502517,-1.213291929960355,0.0036167442793555438,107.60541162647594,109.17045324701881,0.44285182401016243,0.004879628212168197,-0.7759668704834577,119.5877535742796,126.93563063846923,-0.8329360183688408,-0.7628926662222373,0.6405958980354676,100.4229992333808,99.18077079730223,-2.3699114482199946,-2.8023171629501773,-0.2774063227481527,112.8391173654184,117.00996856295413,-0.9908879110694215,-0.5318810117539928,-0.36719451754040344,91.78860255025629,91.74297973078212,5.1593330803388895,4.893881968552904,-0.07829516941464387,102.24635364642573,104.12756903684263
2019-12-11,-12.961431165976393,-12.62985421278465,-0.5156398190800271,99.16802511993271,97.9780077686803,-6.690492690535969,-6.282313520208034,-1.472013891378643,98.98359897405767,99.5208627303564,-8.112704399184814,-8.287646690789234,-0.8040137168101924,101.68317802238877,104.96552037284098,-2.6299446898552006,-2.187016646262207,-0.55443664455882,89.53129387970843,89.88911098472222,-12.799614136681633,-12.4397821786355,-0.5235949448208599,99.00907287621828,97.9358981319184,-6.836467345542978,-6.923696612641506,-1.2770937340270905,100.04335545790832,102.09361963642641,-0.39710682193776137,-0.6759951868949795,0.677787072335656,114.58803200255194,113.27909516864447,-0.8132077572020506,-0.4024065517596906,0.25902976690941326,97.45494733388864,95.85519019237823,-6.805318243264317,-6.428484492789829,0.16677743858717342,96.22107222264339,93.21504306331619,-4.980426325143952,-4.646992345598658,0.13221961902232238,96.06566903840844,95.05313146659526,-3.8186454082179253,-3.5142362761003922,0.13474272396938325,94.17925586106169,93.19904905767596,-2.3302043269507777,-2.5236100683342078,-0.9926630887476362,101.97887167939328,106.42488313509433,2.4703930663335143,2.1004809648246927,-0.5980356302970891,104.5752928644126,106.46328120099865,-6.166487797810198,-5.9447533948789495,-0.3721876051675177,98.47709905749338,100.47118438320373,9.678783827221032,9.368044146453443,3.1561151329981607,101.18566381609956,99.7044131860451,-0.9307123782790754,-1.1287987511850894,-0.07401702008816846,105.67470138313715,107.43447699870427,0.43478581661058513,0.004879628212168197,-1.338897925780902,113.22880397747768,121.95047932274507,-0.7905043065113446,-0.7628926662222373,0.3223277585044926,100.88501972190866,99.82768744450236,-2.1436204219221224,-2.577589625888504,-0.36273471600267726,110.40175595592174,114.21997432747706,-1.243781323481187,-0.7859293345860603,0.24058927277839093,92.4325526656426,91.89952193416218,5.202454844885082,4.927653588581974,-0.05062278300606016,101.45488426034004,103.08534365157287
2019-12-12,-13.030885442479075,-12.62985421278465,-0.8240725796449633,98.82467497064958,98.67237014322234,-6.911997869477176,-6.507841652736206,-2.033674912462735,97.47475907578625,99.08160428102151,-8.30811771495096,-8.003111511454224,-1.0839510371742356,97.87697044279258,102.6680037414133,-3.0032671819997816,-2.5592699245646484,-0.9060567247233919,89.13229172393346,89.45445697496082,-12.885048318393409,-12.4397821786355,-0.8361633523690681,98.62512254991917,98.56993663012273,-6.924092739467028,-6.617142531323808,-1.2774819435252605,98.7312748921561,100.72787379378353,-0.3197957234701505,-0.5992809674991997,-0.1366301338908582,112.6050111902313,113.49067277292684,-0.7149513794449476,-0.4024065517596906,0.3787691176711405,98.8839480183964,97.06606026293228,-6.807869952450702,-6.432607361779344,0.15793746922179164,97.81985327141166,95.20162779867745,-4.84067492512726,-4.646992345598658,0.2099747600969204,97.71006281970995,95.88685880625809,-3.6685970398722603,-3.5142362761003922,1.0660288891554126,97.11247022810191,94.36232389552931,-2.5495970810525606,-2.1183257261905672,-1.3085456856461009,98.33316527253213,103.18256469316096,2.5199692266308915,2.101194217861216,-0.6025468908334108,103.3620821709373,105.25593455216573,-6.320094619250455,-6.099115656409853,-0.383921516682717,96.56120433250548,99.10119134580704,9.88874801486265,9.465425248288808,3.6297763585380283,103.96925029186872,100.50302860360111,-1.0615160477325816,-1.1287987511850894,-0.18609854756180821,102.1183000883212,105.85465792912649,0.3789315238920281,0.004879628212168197,-1.83698655367861,106.4051928210511,115.84409263064161,-0.7306452800134338,-1.0420696135778165,0.4307319308853419,101.4948796926727,100.55739239902019,-2.017593984502888,-2.4530140626622035,-0.37146994317311943,108.23897561249387,111.66014503842074,-1.1876491090022654,-0.7859293345860603,0.9080519085635119,94.24543170827107,92.55659647636433,5.139592693531796,4.927653588581974,-0.043782346917020654,100.678742311199,101.93757841194211
2019-12-13,-13.085643227204002,-12.62985421278465,-0.7061398171687272,98.67977369106941,98.94706559978043,-6.992163167377008,-6.591723905785891,-1.1698956717941078,96.98798274988405,98.39420481255809,-8.456365897679476,-8.154165054684485,-0.784231298754301,95.56311513117446,99.9560321461634,-3.4153519878276413,-2.968735496080285,-1.126961657269332,88.51847503970612,89.17327582194527,-12.95087909244723,-12.477283222059107,-0.76407985883018,98.39042588908745,98.75550846676055,-7.039490299394558,-6.734177014007768,-1.0679269723196327,97.73714929330104,99.48425320970627,-0.08926963451232695,-0.370373157876592,-0.02619526487102064,110.91438568721298,112.96752317624323,-0.8387605401258966,-0.4339177770722515,0.014770640368366728,99.07243722535021,97.95379023846249,-7.044986664523371,-6.670657447995455,-0.45379405857742805,96.41568453720835,96.25114850595659,-4.9998010795987256,-4.671944164700943,-0.12001601351505631,97.49833013597322,96.5805180879151,-3.7577671154778685,-3.5142362761003922,-0.10001426612274988,97.57741354282115,95.47480694798051,-2.7214153780234795,-2.2901634907949244,-0.9263656343268534,96.08486822858137,100.31432569842448,2.4289750557508896,2.101194217861216,-0.9617986178726445,101.76038030760294,103.89559831051383,-6.636672119817618,-6.414859509739513,-0.5701666426546681,93.84602459414732,97.29821922408308,10.093265083699698,9.671283825765803,3.159180425217234,106.20401953923486,102.44791490966139,-1.1205924567336325,-1.1287987511850894,-0.11055560629411598,100.19878764117213,103.85867949535688,0.43270255714730155,0.004879628212168197,-1.087669173285155,102.73436343910348,110.3012784795909,-0.8949837908727076,-1.0420696135778165,-0.31183578077934593,100.8935422900197,100.92339315826878,-1.7684778575190947,-2.2054364009459557,0.14390472881304905,108.19046952251692,109.9011115848783,-1.3570521978623944,-0.9021940551842751,0.20353853156647173,95.0169240687722,93.36169870066895,5.137073960901837,4.927653588581974,0.0029332555469885335,100.36376852125133,101.18331006589784
